number,values_0,values_1,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_beta1,params_beta2,params_beta3,params_beta4,params_learning_rate,params_slope,params_threshold1,params_threshold2,params_threshold3,params_threshold4,params_weight,user_attrs_@5FPR accuracy,user_attrs_@5FPR aod_age,user_attrs_@5FPR aod_employment,user_attrs_@5FPR aod_income,user_attrs_@5FPR eod_age,user_attrs_@5FPR eod_employment,user_attrs_@5FPR eod_income,user_attrs_@5FPR fnr_ratio_age,user_attrs_@5FPR fnr_ratio_employment,user_attrs_@5FPR fnr_ratio_income,user_attrs_@5FPR fpr,user_attrs_@5FPR fpr_ratio_age,user_attrs_@5FPR fpr_ratio_employment,user_attrs_@5FPR fpr_ratio_income,user_attrs_@5FPR precision,user_attrs_@5FPR recall,user_attrs_@5FPR threshold,user_attrs_@global accuracy,user_attrs_@global auc,user_attrs_@global f1_score,user_attrs_@global fpr,user_attrs_@global precision,user_attrs_@global recall,user_attrs_@time inference,user_attrs_@time train,state
0,0.0,0.3439888811674774,2025-04-05 19:20:23.844376,2025-04-05 19:30:42.977827,0 days 00:10:19.133451,0.97,0.99,0.3059315772032638,0.32892617635579663,0.45974249245094434,0.20340150901300383,4.271839306085592e-05,32,0.23709523472527835,0.13882507811156217,0.3550219320177619,0.8007600244729697,0.9756549094004425,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9382517925954832,0.6453509600858462,0.13525514037844114,0.053286960995784935,0.08417651560241476,0.3439888811674774,10.31824254989624,601.5741348266602,COMPLETE
1,0.0,0.31758165392633775,2025-04-05 19:30:42.979583,2025-04-05 19:41:01.845984,0 days 00:10:18.866401,0.984,0.984,0.6155023216787111,0.37366627831306387,0.3871465780044055,0.23612016470171232,1.8904937612559461e-06,16,0.38089193979759367,0.11935127299071929,0.6991224083030745,0.10138270852054847,0.9620400950036412,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8688063996878201,0.597118256563628,0.06364016153739033,0.12334514079908179,0.0353633057339627,0.31758165392633775,10.019251108169556,606.4968271255493,COMPLETE
2,0.023089216390595097,0.09728978457261987,2025-04-05 19:41:01.847465,2025-04-05 19:51:19.947490,0 days 00:10:18.100025,0.982,0.982,0.312107012688549,0.20430918775101944,0.15895678242493974,0.5460674426284923,0.00012958149150136584,40,0.3554352252363284,0.687517662624768,0.11769601207399126,0.1451268232009441,0.9651341634708464,0.9792839373689088,0.023089216390595097,0.030042320582942,0.018976363514601663,0.04590874396968579,0.05305185568343462,0.03325673914534605,0.9513173137964963,0.944421865474497,0.9642526680552228,0.008158035343241051,0.9670610062855243,0.19595292297813968,0.5045988555291127,0.14515292897874546,0.09728978457261987,1,0.9792839373689088,0.5445658746146894,0.11649677553567714,0.008158035343241051,0.14515292897874546,0.09728978457261987,10.262874126434326,605.4220275878906,COMPLETE
3,0.0,0.0,2025-04-05 19:51:19.949001,2025-04-05 20:01:36.768665,0 days 00:10:16.819664,0.973,0.977,0.199743119632456,0.12309771645135428,0.5198698422694438,0.26283248421478517,1.536741523011155e-06,24,0.2143906991888397,0.5752125260568579,0.8516727573749924,0.7486677070931076,0.9892268682170061,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9859616604068094,0.5,0.0,0.0,0.0,0.0,10.017025709152222,604.5159072875977,COMPLETE
4,0.0026594717149292313,0.0010423905489923557,2025-04-05 20:01:36.770168,2025-04-05 20:11:55.112912,0 days 00:10:18.342744,0.986,0.972,0.766307436110575,0.2755402189345029,0.9947727309297562,0.7363035689326694,0.0004870509566072016,16,0.28556338463228803,0.14379892176240447,0.5911854716101886,0.2922157456733442,0.9709146275055804,0.9859616604068094,0.0026594717149292313,0.0005415269922969208,0.0006379409476898446,0.005302279540506688,0.0010668563300142249,0.0012552301255230125,0.9946956213781234,0.9989331436699858,0.998744769874477,1.4841786555320286e-05,0.0,0.0,0.0,0.5,0.0010423905489923557,1,0.9859616604068094,0.5005137743812185,0.0020804438280166435,1.4841786555320286e-05,0.5,0.0010423905489923557,10.24541687965393,605.7395150661469,COMPLETE
5,0.02678420014906855,0.13516330785267547,2025-04-05 20:11:55.114299,2025-04-05 20:22:15.309516,0 days 00:10:20.195217,0.977,0.983,0.6071963340805445,0.8863736522822525,0.34187328544848167,0.14655634119887906,0.0008241798120947932,47,0.12168125677251244,0.2526484231796157,0.5484698583740265,0.7352983451420774,0.9739588893333576,0.9774889029803424,0.02678420014906855,0.06673439836311618,0.058620470250082254,0.043990994129498306,0.12282857019699124,0.10600692777282392,0.9494473660003445,0.8752817594922858,0.8887497188104557,0.010517879405536976,0.4971975507381126,0.0673461259186909,0.17870151341225085,0.15467196819085488,0.13516330785267547,1,0.9774889029803424,0.5623227142235693,0.14426107917671058,0.010517879405536976,0.15467196819085488,0.13516330785267547,10.024702548980713,607.7321362495422,COMPLETE
6,0.025348356019312616,0.08304378040305768,2025-04-05 20:22:15.310786,2025-04-05 20:32:32.861120,0 days 00:10:17.550334,0.985,0.974,0.14041804559335472,0.7181767312781726,0.21141465301015483,0.413281646717602,0.0005203035181544385,47,0.8745304202203115,0.20477977259924468,0.43049585965372084,0.11386914996987699,0.9628137652822946,0.9806692356470416,0.025348356019312616,0.04536121665270046,0.029059642321993175,0.04494479563731642,0.08499288762446658,0.053115782975512726,0.9512760623871735,0.9150071123755334,0.9447324049210016,0.0065501751330813525,0.5072524949545446,0.18496112545529153,0.3712468223421369,0.1529110684580934,0.08304378040305768,1,0.9806692356470416,0.5382468026349881,0.10763341589732042,0.0065501751330813525,0.1529110684580934,0.08304378040305768,10.074887990951538,605.1128840446472,COMPLETE
7,0.02579497296540153,0.14489228630993745,2025-04-05 20:32:32.862399,2025-04-05 20:42:54.149063,0 days 00:10:21.286664,0.984,0.975,0.2276592565058698,0.8015531699398067,0.5444070234020667,0.10371902870492443,0.00024154831092784137,24,0.3644128671509776,0.10390277845913243,0.12293363098160523,0.6712595153964377,0.9730503775024338,0.979166869908785,0.02579497296540153,0.07796854299568727,0.036098346592458565,0.04264484873903157,0.14829302987197723,0.06590301118046506,0.9504307576984671,0.8517069701280228,0.927566059783633,0.008954544555043239,0.47137824028734365,0.20328029151051458,0.4131848459186556,0.18724741805118994,0.14489228630993745,1,0.979166869908785,0.5679688708774472,0.16336924583741427,0.008954544555043239,0.18724741805118994,0.14489228630993745,10.413304567337036,608.3280482292175,COMPLETE
8,0.039283133127394336,0.17790132036136205,2025-04-05 20:42:54.150600,2025-04-05 20:53:11.343652,0 days 00:10:17.193052,0.975,0.973,0.15681655427627494,0.2323450675865279,0.16333495912671037,0.19712547000484498,0.00022425274246178921,38,0.5492104151616111,0.7171721135655387,0.3523499648582967,0.10067369387880185,0.9569746705081553,0.9740256572850104,0.039283133127394336,0.04178454123625638,0.050090188602021746,0.06345598589365903,0.07352687615845512,0.0908464229371013,0.923532057056139,0.9177495961617282,0.8987829808372023,0.014638948805730908,0.4622102793209541,0.35126016189771764,0.45936754364369053,0.14750792278882166,0.17790132036136205,1,0.9740256572850104,0.5816311857778155,0.16128524177035752,0.014638948805730908,0.14750792278882166,0.17790132036136205,10.163011312484741,604.5824513435364,COMPLETE
9,0.08319277999812019,0.3054204308547602,2025-04-05 20:53:11.345171,2025-04-05 21:03:27.807707,0 days 00:10:16.462536,0.988,0.982,0.12193759152160338,0.47582511042877457,0.12820439611211532,0.1155734738280975,0.00012264691615402213,33,0.8811779197416111,0.34636730423800643,0.5873543904225498,0.18066640557551386,0.963509964389884,0.9518169845373396,0.08319277999812019,0.1321854981121981,0.03565694285352952,0.13237660052064487,0.23505323505323505,0.05933363056451063,0.8137440592897162,0.7456801063358441,0.9202346784697487,0.03897947875645618,0.509035909647543,0.2924157959300108,0.717112525432796,0.10036538022379539,0.3054204308547602,1,0.9518169845373396,0.633220476049152,0.15108284633894808,0.03897947875645618,0.10036538022379539,0.3054204308547602,10.251881837844849,603.767495393753,COMPLETE
