number,values_0,values_1,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_beta1,params_beta2,params_beta3,params_beta4,params_learning_rate,params_slope,params_threshold1,params_threshold2,params_threshold3,params_threshold4,params_weight,user_attrs_@5FPR accuracy,user_attrs_@5FPR aod_age,user_attrs_@5FPR aod_employment,user_attrs_@5FPR aod_income,user_attrs_@5FPR eod_age,user_attrs_@5FPR eod_employment,user_attrs_@5FPR eod_income,user_attrs_@5FPR fnr_ratio_age,user_attrs_@5FPR fnr_ratio_employment,user_attrs_@5FPR fnr_ratio_income,user_attrs_@5FPR fpr,user_attrs_@5FPR fpr_ratio_age,user_attrs_@5FPR fpr_ratio_employment,user_attrs_@5FPR fpr_ratio_income,user_attrs_@5FPR precision,user_attrs_@5FPR recall,user_attrs_@5FPR threshold,user_attrs_@global accuracy,user_attrs_@global auc,user_attrs_@global f1_score,user_attrs_@global fpr,user_attrs_@global precision,user_attrs_@global recall,user_attrs_@time inference,user_attrs_@time train,state
0,0.0,0.4315496872828353,2025-04-05 22:53:31.795756,2025-04-05 23:19:14.633561,0 days 00:25:42.837805,0.98,0.986,0.5886793505379397,0.9489169152524384,0.3622957651200384,0.16445428693170733,0.0002017691636722128,27,0.1779030852628353,0.38709232022241297,0.4991938576617722,0.8369617096933796,0.9740271304686111,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9294375884103214,0.6840381567239577,0.14654867256637166,0.06347337383491976,0.08826037521318932,0.4315496872828353,21.03745722770691,1519.6186971664429,COMPLETE
1,0.0,0.6914523974982627,2025-04-05 23:19:14.635169,2025-04-05 23:44:42.468546,0 days 00:25:27.833377,0.99,0.984,0.5420900979302483,0.9239919888863529,0.38112192208800205,0.3893929658696908,4.3220767687330436e-05,21,0.2666177575625586,0.9424767513653147,0.3988906405876216,0.9429889711549094,0.9952619883517312,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.7299107360616556,0.7109553559335456,0.06705868477363482,0.2695416856311717,0.035238078373736124,0.6914523974982627,20.93620467185974,1504.7260766029358,COMPLETE
2,0.0,0.6177901320361362,2025-04-05 23:44:42.470011,2025-04-06 00:10:12.490780,0 days 00:25:30.020769,0.978,0.981,0.5277481244958597,0.26666176665402647,0.5572312646558616,0.3880579560479813,8.183695266643763e-06,39,0.22293504026402008,0.27973111983741605,0.16509764200529406,0.36595260747226904,0.9832060345661933,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.7522462318911273,0.6859753897669054,0.06543019062338999,0.24583935250232522,0.03454439479308335,0.6177901320361362,21.013320922851562,1506.8421914577484,COMPLETE
3,0.0,0.6344683808200139,2025-04-06 00:10:12.492315,2025-04-06 00:35:53.377818,0 days 00:25:40.885503,0.985,0.974,0.5020627379194686,0.6406856670197665,0.33456617798616156,0.137439725299227,1.0497812892166762e-05,28,0.48441947620938586,0.4660824507638595,0.5401069494510178,0.4686874454151418,0.9919739796008972,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.7170723379347349,0.6763584260579992,0.0592328278322926,0.2817515287040152,0.031066573659764875,0.6344683808200139,21.03359889984131,1517.6621451377869,COMPLETE
4,0.0,0.9944405837387075,2025-04-06 00:35:53.379246,2025-04-06 01:01:27.247176,0 days 00:25:33.867930,0.985,0.982,0.728093656404312,0.5240072959838766,0.28513607600751045,0.3007583785808005,0.000402022943266132,10,0.8392020344258375,0.6367583892647255,0.6774374212251998,0.8256359921559755,0.999601107194579,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.06775767035754353,0.524501969189125,0.029079012207698523,0.9454366453604576,0.014755239347304926,0.9944405837387075,20.77639603614807,1510.94850897789,COMPLETE
5,0.0,0.844683808200139,2025-04-06 01:01:27.248443,2025-04-06 01:27:07.510922,0 days 00:25:40.262479,0.978,0.99,0.12530259631257123,0.43003284057498187,0.24378449424874052,0.1262191658308619,1.0205412012537894e-06,24,0.3885650902488304,0.375962391145368,0.4438671594995734,0.2136391289324567,0.9972005220534271,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2800156089946832,0.5583297734131916,0.031889076908950195,0.7280242613737558,0.01625130358050111,0.844683808200139,21.08687448501587,1517.0273001194,COMPLETE
6,0.04454013484194776,0.1838082001389854,2025-04-06 01:27:07.512414,2025-04-06 01:52:49.752292,0 days 00:25:42.239878,0.978,0.989,0.9847136985068164,0.9052068738701847,0.14570051318349153,0.15562301640512927,0.00014602326169082895,39,0.1516707734681191,0.1713147215762261,0.33496396558686614,0.8893920629405342,0.9657210154978212,0.9737085995805083,0.04454013484194776,0.09374310025178886,0.05555611153051405,0.07295228624868516,0.17261519893098842,0.09795939364839837,0.9115825288487159,0.8247291826239195,0.8908580271679946,0.015044624304909663,0.4515989386384321,0.08707724784142813,0.2983257739790416,0.14817927170868347,0.1838082001389854,1,0.9737085995805083,0.5843817879170378,0.1640818858560794,0.015044624304909663,0.14817927170868347,0.1838082001389854,20.968023777008057,1519.0359411239624,COMPLETE
7,0.0,0.5722724113968033,2025-04-06 01:52:49.753662,2025-04-06 02:18:17.579651,0 days 00:25:27.825989,0.973,0.972,0.11741546386144057,0.22016473796201205,0.12031307772512076,0.4819841665017408,3.5669889356448336e-05,47,0.16168263537377092,0.2404052992368194,0.9148042457354943,0.14183426729309423,0.9944475224814939,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8132627676698697,0.6944832264571137,0.07922649541813984,0.18330595848257575,0.04255923925682834,0.5722724113968033,21.600423574447632,1503.5619909763336,COMPLETE
8,0.0,0.8849895760945101,2025-04-06 02:18:17.581335,2025-04-06 02:43:56.605986,0 days 00:25:39.024651,0.982,0.989,0.7620357658220518,0.9189441975885743,0.5220873929837119,0.29024099581726254,4.0257158980540485e-06,13,0.23025103429238325,0.10930532002176586,0.11388636748780649,0.4909807334882527,0.9982830705374143,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.3330032681332618,0.6050667707120483,0.03591497162195509,0.6748560346704134,0.018329411256719705,0.8849895760945101,21.52039909362793,1514.9502403736115,COMPLETE
9,0.0,0.35476025017373175,2025-04-06 02:43:56.607579,2025-04-06 03:09:33.968781,0 days 00:25:37.361202,0.99,0.985,0.10736132096909623,0.7549200497615274,0.29964875292506415,0.9950639656572189,1.4576747872819706e-05,30,0.11173327264102707,0.35601082270659384,0.4928311808131201,0.13949090506471873,0.9883704508988814,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9018438124969513,0.6321967795502859,0.09212722761109858,0.09036669107316012,0.052937211593301184,0.35476025017373175,21.51012873649597,1513.3673906326294,COMPLETE
