number,values_0,values_1,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_beta1,params_beta2,params_beta3,params_beta4,params_learning_rate,params_slope,params_threshold1,params_threshold2,params_threshold3,params_threshold4,params_weight,user_attrs_@5FPR accuracy,user_attrs_@5FPR aod_age,user_attrs_@5FPR aod_employment,user_attrs_@5FPR aod_income,user_attrs_@5FPR eod_age,user_attrs_@5FPR eod_employment,user_attrs_@5FPR eod_income,user_attrs_@5FPR fnr_ratio_age,user_attrs_@5FPR fnr_ratio_employment,user_attrs_@5FPR fnr_ratio_income,user_attrs_@5FPR fpr,user_attrs_@5FPR fpr_ratio_age,user_attrs_@5FPR fpr_ratio_employment,user_attrs_@5FPR fpr_ratio_income,user_attrs_@5FPR precision,user_attrs_@5FPR recall,user_attrs_@5FPR threshold,user_attrs_@global accuracy,user_attrs_@global auc,user_attrs_@global f1_score,user_attrs_@global fpr,user_attrs_@global precision,user_attrs_@global recall,user_attrs_@time inference,user_attrs_@time train,state
0,0.0,0.46872828353022933,2025-04-05 19:15:36.301814,2025-04-05 19:41:34.199689,0 days 00:25:57.897875,0.985,0.97,0.31315164615237634,0.23976938356788732,0.20027030010821242,0.36292921445463083,3.2486876626660375e-05,14,0.13267069580692067,0.3794297384326342,0.7217053563531861,0.3594025115089307,0.9760972333633281,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8843032047217209,0.6794742678213551,0.1021312033917553,0.10977974788751904,0.05730914652279196,0.46872828353022933,22.548646211624146,1527.9412026405334,COMPLETE
1,0.0,0.467685892981237,2025-04-05 19:41:34.201478,2025-04-05 20:07:30.438393,0 days 00:25:56.236915,0.982,0.984,0.1575454567439941,0.8338591584377657,0.45456414184821825,0.4509481697041147,4.3193097212086855e-05,21,0.5194800684262388,0.21993421161565183,0.1637449862178633,0.3663522117360927,0.96860230241279,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8575435344617336,0.6653901532663888,0.08439665172273254,0.13690558644845943,0.046383403976704915,0.467685892981237,21.881311893463135,1531.9808342456818,COMPLETE
2,0.0,0.7234190410006949,2025-04-05 20:07:30.439898,2025-04-05 20:33:24.010806,0 days 00:25:53.570908,0.988,0.988,0.8369186101881806,0.35698458509182357,0.8952705585056492,0.13254152007918665,8.257426739351515e-05,29,0.612819101076378,0.2089299563752195,0.26046014103519366,0.19036863605953533,0.9843045276099431,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6652846202624262,0.693937965279007,0.05721037590679271,0.33554311044268104,0.0297828512574028,0.7234190410006949,22.131471395492554,1529.0754811763763,COMPLETE
3,0.0,0.3971507991660876,2025-04-05 20:33:24.012213,2025-04-05 20:59:18.416557,0 days 00:25:54.404344,0.978,0.987,0.10115334013611785,0.2042959621124548,0.9499478507315562,0.33084765153713425,0.00012324590779220362,36,0.22442549504957943,0.15728875328049305,0.1398802732670308,0.4343135600064896,0.9856097793754378,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9240037071362373,0.6643279771066423,0.127952535542371,0.06849484495280311,0.07626100880704563,0.3971507991660876,21.64655327796936,1530.471101284027,COMPLETE
4,0.0,0.7088255733148019,2025-04-05 20:59:18.418257,2025-04-05 21:25:12.061149,0 days 00:25:53.642892,0.99,0.976,0.4771893557051677,0.8799495683726166,0.7871917799877237,0.7469932023171238,5.15101186276452e-05,11,0.5270395359745851,0.6182804736275749,0.20994232141170538,0.5173306467860462,0.9801792788980468,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.7124237842056486,0.7106502948203836,0.06472491909385113,0.2875249836740348,0.0339107018185445,0.7088255733148019,21.789307594299316,1529.5706062316895,COMPLETE
5,0.0,0.5392633773453788,2025-04-05 21:25:12.062807,2025-04-05 21:51:05.458674,0 days 00:25:53.395867,0.981,0.979,0.23371453801795727,0.11121822139863276,0.24930454954997466,0.4912468394077441,5.642557907948454e-06,26,0.15801852086989118,0.10651957077033095,0.7072888010765835,0.877265289072903,0.9937596090872212,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8249012243305205,0.6841157881720265,0.07958770287941334,0.17103180100132587,0.0429643163635357,0.5392633773453788,21.756744146347046,1529.1280739307404,COMPLETE
6,0.0,0.7915218902015289,2025-04-05 21:51:05.460319,2025-04-05 22:17:01.318773,0 days 00:25:55.858454,0.982,0.983,0.24565658738971327,0.5399041235327432,0.831306450145668,0.1180025334511997,1.300094786018052e-05,23,0.10505190806450014,0.10942700834490988,0.1790212117740221,0.650098362388801,0.9944395126705712,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5948392761328716,0.6917803779466274,0.05199844780752813,0.4079611343082738,0.026882227991503423,0.7915218902015289,21.701658248901367,1531.8360531330109,COMPLETE
7,0.0,0.5027797081306463,2025-04-05 22:17:01.320215,2025-04-05 22:42:52.050085,0 days 00:25:50.729870,0.973,0.985,0.29222307185197405,0.16219127072026865,0.22759366813797094,0.21557980585616784,1.5103810643240994e-05,11,0.21822162622814628,0.7641867446074417,0.4405533048420477,0.5431015495760803,0.9844403416990478,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8412955465587044,0.6744475589314503,0.08168219023426475,0.15388459026774584,0.04445195379700172,0.5027797081306463,21.781508684158325,1526.6134450435638,COMPLETE
8,0.04208942272413618,0.28179291174426685,2025-04-05 22:42:52.051521,2025-04-05 23:08:49.857531,0 days 00:25:57.806010,0.974,0.979,0.18240505157169554,0.7526249940794977,0.8021677183114793,0.3785728500453304,3.302779546548917e-05,33,0.11372032944251642,0.10732721405715766,0.16036979661372103,0.11556160997958514,0.9830490667552532,0.9491195551436515,0.04208942272413618,0.08044290561341177,0.08728131033784063,0.05545465102251801,0.1333354885986465,0.14439090472597568,0.9235076947959044,0.8428546027230237,0.8277194095201073,0.041378900916232954,0.5710390910824171,0.36934243547028434,0.39495796671039046,0.08839237057220709,0.28179291174426685,1,0.9491195551436515,0.6202070054140169,0.13457230565004563,0.041378900916232954,0.08839237057220709,0.28179291174426685,21.660194396972656,1533.8062341213226,COMPLETE
9,0.027092432634379045,0.18797776233495483,2025-04-05 23:08:49.859040,2025-04-05 23:34:51.846282,0 days 00:26:01.987242,0.99,0.984,0.4545084020252796,0.20362605258879513,0.10818017067283209,0.36397944885052286,0.0001560753458525072,34,0.586582413983721,0.28000445087029385,0.12580166248050753,0.20571599935067011,0.9682922046198662,0.9719233208136189,0.027092432634379045,0.09551049637998302,0.04990945579259796,0.04549046931318401,0.17688262425104528,0.08817477193223129,0.9443589467790823,0.8203961046066309,0.9003951650395164,0.016914689410880018,0.6474063497062417,0.2187960894169953,0.42328755853134686,0.1366161616161616,0.18797776233495483,1,0.9719233208136189,0.5855315364620374,0.15823340157940918,0.016914689410880018,0.1366161616161616,0.18797776233495483,21.635780811309814,1538.035394668579,COMPLETE
